gauss_width,polarization,delay,final_population_sum
50.0,"[1, 0]",0.0,0.999999999999997
50.0,"[1, 0]",100.0,0.9999999999999952
50.0,"[1, 0]",200.0,0.9999999999999987
50.0,"[np.float64(0.7071067811865475), 0.7071067811865475j]",0.0,0.999999999999997
50.0,"[np.float64(0.7071067811865475), 0.7071067811865475j]",100.0,0.9999999999999952
50.0,"[np.float64(0.7071067811865475), 0.7071067811865475j]",200.0,0.9999999999999987
80.0,"[1, 0]",0.0,0.9999999999999978
80.0,"[1, 0]",100.0,0.9999999999999982
80.0,"[1, 0]",200.0,0.9999999999999976
80.0,"[np.float64(0.7071067811865475), 0.7071067811865475j]",0.0,0.9999999999999978
80.0,"[np.float64(0.7071067811865475), 0.7071067811865475j]",100.0,0.9999999999999982
80.0,"[np.float64(0.7071067811865475), 0.7071067811865475j]",200.0,0.9999999999999976
